file,face,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
by-the-sea.jpg,1,0.68075615,0.13637406,0.68621314,0.28880754,0.09941346,0.0,0.46701154,0.0013014704,1.0,0.055949327,0.25070342,0.53289276,0.3927931,0.0,0.72701675,0.4715607,0.81019723,0.33021867,0.16464224,0.4696256
sad-woman.jpg,0,0.6569118,0.55864686,0.2491594,0.32411748,0.07552482,0.0,0.2979984,0.0002473866,1.0,0.021881541,0.16625276,0.36956036,0.42985678,0.0,0.2957739,0.39100116,0.33334836,0.25914475,0.24769267,0.9424751
pain.jpg,0,0.38442996,0.35250625,0.59035766,0.38993835,0.7415339,1.0,0.5605869,0.9668996,0.0,0.8386989,0.4653712,0.18558545,0.41023126,1.0,0.3777558,0.34092477,0.7547474,0.23252502,0.09716671,0.818066
thumbs-up.jpg,0,0.32959846,0.43150797,0.25235814,0.2247494,0.94987607,1.0,0.5851031,0.9983758,1.0,0.98930955,0.7061257,0.03897166,0.1356062,1.0,0.06282796,0.0053667873,0.99999404,0.3393837,0.02096216,0.30293888
bullied.jpg,0,0.29288492,0.08262967,0.64656,0.51969606,0.14696154,0.0,0.1227388,0.032390285,0.0,0.03885877,0.45818946,0.2563181,0.5956792,0.0,0.6220959,0.7989279,0.054523297,0.03874688,0.37140787,0.030064095
bullied.jpg,1,0.4456363,0.41590354,0.42205703,0.49114597,0.07050573,0.0,0.11222279,0.0033002633,0.0,0.026074033,0.23262061,0.49331856,0.45925954,0.0,0.67530566,0.47717503,0.03541766,0.19558446,0.13980992,0.10045089
sad-man.jpg,0,0.6042223,0.47165453,0.17088455,0.48704422,0.21178056,1.0,0.21732302,0.05288809,0.0,0.28954765,0.4200712,0.16668117,0.44072452,0.0,0.29440093,0.6198405,0.7669148,0.4692206,0.020377757,0.4103527
piggyback.jpg,0,0.62740886,0.23846169,0.51192033,0.31043506,0.75416505,1.0,0.51103795,0.8736824,1.0,0.65062624,0.21199971,0.47833964,0.28923488,1.0,0.20855017,0.032140598,0.9982436,0.73959345,0.038294163,0.26427308
piggyback.jpg,1,0.32414502,0.43931568,0.3618993,0.25250572,0.7174995,1.0,0.4717799,0.97849405,1.0,0.77226883,0.67731774,0.2729134,0.19814533,1.0,0.26393604,0.0364225,0.9999138,0.37868163,0.3456881,0.8374274
students.jpg,0,0.5627457,0.18997869,0.72654593,0.28258297,0.36017263,1.0,0.6271778,0.016420906,0.0,0.0698858,0.13040961,0.66956097,0.4872847,1.0,0.58055496,0.1225579,0.9788442,0.7562107,0.31430256,0.8366366
students.jpg,1,0.42011186,0.1897228,0.10245663,0.35365656,0.9325026,1.0,0.6035273,0.81397057,0.0,0.96796393,0.8710374,0.44193035,0.105571486,1.0,0.113151126,0.0075503243,0.99994767,0.6717542,0.054136325,0.044401348
students.jpg,2,0.38952312,0.23778518,0.34823567,0.35449716,0.6444224,0.0,0.602285,0.7711435,0.0,0.67368203,0.68733406,0.18287061,0.3127494,1.0,0.5760637,0.08080332,0.9893478,0.46964073,0.069309235,0.04311664
